playerId,I_F_goals,I_F_primaryAssists,I_F_points,I_F_shotsOnGoal,faceoffsWon,penalityMinutes,I_F_hits,I_F_takeaways,I_F_giveaways,PC1,PC2,cluster,cluster_label
8477934,17.0,29.0,51.0,119.0,475.0,18.0,62.0,61.0,79.0,6.8564444461718415,-2.5842847168862626,2,Offensive All Star
8481679,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,-3.092355563806005,-0.609302932270487,3,Support Player
8475171,2.0,9.0,15.0,76.0,0.0,22.0,52.0,9.0,22.0,-0.12394459642393235,0.2204572829127958,1,Defensive Minded
8476479,13.0,9.0,28.0,117.0,496.0,45.0,76.0,16.0,23.0,2.5948206579465083,-0.39724709342853576,2,Offensive All Star
8476404,0.0,0.0,1.0,1.0,3.0,0.0,7.0,1.0,1.0,-2.9953316651364688,-0.5593751293298993,3,Support Player
8482711,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,-3.043545371281674,-0.5369234475331481,3,Support Player
8477021,6.0,10.0,24.0,114.0,40.0,30.0,50.0,37.0,33.0,1.8569930250194882,-0.08604633558234095,1,Defensive Minded
8476396,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,-3.071215533105317,-0.5982921464408755,3,Support Player
8476858,6.0,2.0,10.0,67.0,0.0,14.0,50.0,8.0,5.0,-1.1139151175970228,0.008733776671134104,3,Support Player
8476850,0.0,2.0,3.0,8.0,0.0,4.0,11.0,0.0,7.0,-2.571280165141909,-0.421476020114936,3,Support Player
8478109,17.0,5.0,23.0,115.0,0.0,2.0,15.0,20.0,17.0,0.7641193178835988,-1.4760646028694855,1,Defensive Minded
8478975,8.0,9.0,23.0,116.0,6.0,52.0,85.0,34.0,36.0,2.257533440427843,1.164615908362079,0,Bruiser
8477940,9.0,12.0,25.0,100.0,0.0,11.0,35.0,26.0,18.0,1.1134030383962743,-0.9795153837926388,1,Defensive Minded
8477409,28.0,11.0,52.0,202.0,20.0,42.0,28.0,35.0,44.0,4.953142555256177,-0.9406637025497626,2,Offensive All Star
8475158,11.0,5.0,21.0,76.0,378.0,14.0,15.0,41.0,10.0,1.1929818672995822,-1.9031577442698555,1,Defensive Minded
8480835,2.0,3.0,7.0,61.0,62.0,10.0,12.0,8.0,5.0,-1.5160590874697855,-0.5799958048966766,3,Support Player
8480008,4.0,6.0,14.0,52.0,78.0,8.0,26.0,12.0,9.0,-0.8062777969490087,-0.7800205034928416,1,Defensive Minded
8481147,4.0,1.0,6.0,46.0,101.0,26.0,168.0,10.0,6.0,-0.7349843490573764,1.7405936829898,0,Bruiser
8477993,0.0,0.0,0.0,5.0,2.0,0.0,8.0,0.0,0.0,-3.0394544665994103,-0.5300010033107876,3,Support Player
8480994,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,-3.043694069899162,-0.547421407091915,3,Support Player
8470595,12.0,8.0,26.0,87.0,278.0,24.0,25.0,25.0,30.0,1.7383088023002446,-1.1742294662727222,2,Offensive All Star
8478859,1.0,2.0,6.0,58.0,0.0,56.0,138.0,7.0,33.0,-0.10545425385125064,2.8476976389406166,0,Bruiser
8480144,7.0,7.0,23.0,101.0,425.0,8.0,69.0,39.0,26.0,1.8442532905433655,-1.4122096455770483,2,Offensive All Star
8475151,13.0,11.0,27.0,80.0,8.0,20.0,68.0,9.0,17.0,0.9875638006463086,-0.28126809421242566,1,Defensive Minded
8477846,1.0,1.0,3.0,15.0,59.0,8.0,34.0,6.0,12.0,-2.034423213443952,-0.16524745242580058,3,Support Player
8474578,16.0,29.0,64.0,152.0,0.0,22.0,29.0,73.0,84.0,7.0428785096837085,-2.011422248389597,2,Offensive All Star
8479376,0.0,0.0,2.0,6.0,0.0,4.0,3.0,2.0,7.0,-2.7378727250705053,-0.4545671465026909,3,Support Player
8477369,3.0,4.0,15.0,82.0,0.0,58.0,123.0,24.0,29.0,0.9234938112640068,2.3161005902378298,0,Bruiser
8476885,5.0,8.0,21.0,169.0,0.0,59.0,199.0,29.0,45.0,2.946308522545686,3.026586780564385,0,Bruiser
8478010,29.0,16.0,59.0,155.0,331.0,5.0,34.0,42.0,33.0,5.159976148125191,-3.1944421017811213,2,Offensive All Star
8480798,8.0,8.0,19.0,96.0,57.0,10.0,35.0,33.0,18.0,0.815897118827675,-0.9555118657291515,1,Defensive Minded
8475722,24.0,7.0,37.0,176.0,2.0,35.0,189.0,33.0,32.0,3.9754251636422957,1.1999227150514495,2,Offensive All Star
8476856,4.0,6.0,14.0,88.0,0.0,69.0,96.0,14.0,32.0,0.9946411682135625,2.37484013035373,0,Bruiser
8474567,1.0,3.0,5.0,52.0,1.0,22.0,110.0,4.0,25.0,-0.9284545862593707,1.3363086673227467,1,Defensive Minded
8480192,3.0,6.0,15.0,88.0,0.0,25.0,86.0,29.0,76.0,1.6620978545415905,0.931018623148239,0,Bruiser
8478870,3.0,1.0,5.0,23.0,0.0,4.0,7.0,2.0,3.0,-2.3433246815716062,-0.6009250670595493,3,Support Player
8478508,9.0,6.0,18.0,120.0,11.0,33.0,160.0,27.0,38.0,1.8855966562848006,1.622301586656852,0,Bruiser
8482740,21.0,8.0,33.0,128.0,135.0,18.0,20.0,44.0,45.0,3.2735265181068227,-1.5866844988683906,2,Offensive All Star
8479980,2.0,9.0,16.0,99.0,0.0,31.0,112.0,18.0,25.0,0.7298257989528246,1.1642789888938314,0,Bruiser
8478057,9.0,5.0,20.0,66.0,18.0,50.0,216.0,25.0,9.0,1.2422793370373666,2.7081066082699436,0,Bruiser
8482745,8.0,12.0,24.0,98.0,282.0,38.0,53.0,25.0,25.0,2.009638163296878,-0.38851959703523486,2,Offensive All Star
8479465,0.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,-3.0475225102878314,-0.5580829581086266,3,Support Player
8483397,0.0,0.0,0.0,3.0,5.0,2.0,2.0,0.0,0.0,-3.045887604835814,-0.5417129290353162,3,Support Player
8477429,5.0,14.0,26.0,87.0,461.0,17.0,31.0,17.0,37.0,1.9130105476716117,-1.5992333575269289,2,Offensive All Star
8477944,6.0,3.0,10.0,44.0,1.0,10.0,13.0,9.0,9.0,-1.3016170971031924,-0.5881924434647042,3,Support Player
8480184,1.0,3.0,8.0,18.0,0.0,20.0,38.0,1.0,17.0,-1.6536698557822673,0.354002509430855,3,Support Player
8482081,1.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,2.0,-2.9086639878973757,-0.664271243830455,3,Support Player
8481441,2.0,1.0,3.0,16.0,2.0,0.0,4.0,4.0,5.0,-2.483229280041522,-0.7220558806344849,3,Support Player
8475718,2.0,2.0,17.0,55.0,0.0,37.0,125.0,23.0,49.0,0.7039375570470845,1.841039800867511,0,Bruiser
8479420,25.0,20.0,55.0,196.0,309.0,39.0,50.0,37.0,31.0,5.7233642721152185,-1.7453346952324365,2,Offensive All Star
